dcr_regiao,id_projeto,nom_projeto,cd_talhao,data_cto,dcr_operacao,flag_cto_executado,data_inicio_operacao,dcr_municipio,dcr_estado,vlr_area
BRACELL SP,0338,SANTO ANTÔNIO VII,005-01,2024-03-03,CORTE HARVESTER,S,2024-02-23,Getulina,SÃO PAULO,9.08
BRACELL BA LESTE,8032,CARDOSO,026-01,2024-11-22,CORTE HARVESTER,S,2024-11-19,Esplanada,BAHIA,17.1
BRACELL SP,0565,SANTA MÔNICA,004-01,,CORTE HARVESTER,N,2025-06-23,Alagoinhas,BAHIA,5.04
BRACELL BA OESTE,8383,SERRA DO BODE,010-01,2025-04-23,CORTE HARVESTER,S,2025-04-22,Alagoinhas,BAHIA,0.09
BRACELL BA OESTE,8130,RIO TORTO,016-01,2025-04-16,CORTE HARVESTER,S,2025-04-03,Alagoinhas,BAHIA,17.89
BRACELL SP,2003,PAU D'ALHO II,002-01,2025-05-10,CORTE HARVESTER,S,2025-05-06,Lucianópolis,SÃO PAULO,0.34
BRACELL SP,1127,GOMES,004-01,2025-04-09,CORTE HARVESTER,S,2025-03-09,Capão Bonito,SÃO PAULO,24.47
BRACELL SP,0545,BOA VISTA X - RIBEIRÃO BONITO,007-01,2025-04-20,CORTE HARVESTER,S,2025-04-14,Ribeirão Bonito,SÃO PAULO,78.33
BRACELL SP,0465,ALIANÇA III,004-01,2025-03-12,CORTE HARVESTER,S,2025-02-23,Itapeva,SÃO PAULO,11.97
BRACELL SP,0967,MARUQUE,012-01,2025-06-18,CORTE HARVESTER,S,2025-06-03,Itapeva,SÃO PAULO,46.66
BRACELL SP,0325,SÃO DOMINGOS,062-01,2024-08-28,CORTE HARVESTER,S,2024-08-23,Presidente Alves,SÃO PAULO,45.13
BRACELL SP,0604,SÃO BENEDITO II – GUAIMBÊ,002-01,2025-05-02,CORTE HARVESTER,S,2025-04-17,Guaimbê,SÃO PAULO,25.71
BRACELL SP,0439,ESTÂNCIA SANTA LAURA,003-01,2025-04-23,CORTE HARVESTER,S,2025-04-15,Guaimbê,SÃO PAULO,0.6
BRACELL SP,0967,MARUQUE,028-01,2025-06-06,CORTE HARVESTER,S,2025-05-30,Itapeva,SÃO PAULO,46.66
BRACELL SP,0967,MARUQUE,015-01,2025-05-31,CORTE HARVESTER,S,2025-05-23,Itapeva,SÃO PAULO,46.66
BRACELL BA OESTE,8038,CONCEIÇÃO,004-01,2025-05-16,CORTE HARVESTER,S,2025-05-12,Alagoinhas,BAHIA,3.54
BRACELL SP,0325,SÃO DOMINGOS,036-01,2024-08-20,CORTE HARVESTER,S,2024-08-18,Presidente Alves,SÃO PAULO,45.13
BRACELL SP,0332,SANTA BRANCA,008-01,2024-10-22,CORTE HARVESTER,S,2024-10-13,Echaporã,SÃO PAULO,1.81
BRACELL SP,0967,MARUQUE,011-01,2025-06-19,CORTE HARVESTER,S,2025-06-14,Itapeva,SÃO PAULO,46.66
BRACELL SP,0967,MARUQUE,007-01,2025-06-22,CORTE HARVESTER,S,2025-06-11,Itapeva,SÃO PAULO,46.66
BRACELL SP,0332,SANTA BRANCA,005-01,2024-10-11,CORTE HARVESTER,S,2024-09-25,Echaporã,SÃO PAULO,1.81
BRACELL SP,0332,SANTA BRANCA,006-01,2024-10-13,CORTE HARVESTER,S,2024-10-07,Echaporã,SÃO PAULO,1.81
BRACELL SP,0967,MARUQUE,006-01,2025-06-21,CORTE HARVESTER,S,2025-06-17,Itapeva,SÃO PAULO,46.66
BRACELL SP,0516,SANTA FELICIDADE,009-01,2025-01-19,CORTE HARVESTER,S,2025-01-19,Getulina,SÃO PAULO,22.56
BRACELL SP,0290,ALAMBARI II,020-01,2025-06-21,CORTE HARVESTER,S,2025-06-17,Anhembi,SÃO PAULO,10.03
BRACELL SP,0967,MARUQUE,013-01,2025-06-18,CORTE HARVESTER,S,2025-06-03,Itapeva,SÃO PAULO,46.66
BRACELL SP,0359,SÃO JOSÉ IV - GLEBA II,003-01,2025-02-18,CORTE HARVESTER,S,2025-02-06,Avaí,SÃO PAULO,10.61
BRACELL SP,0324,SANTA TEREZINHA II,030-01,2024-09-14,CORTE HARVESTER,S,2024-09-13,Presidente Alves,SÃO PAULO,22.18
BRACELL SP,0359,SÃO JOSÉ IV - GLEBA II,004-01,2025-02-15,CORTE HARVESTER,S,2025-02-10,Avaí,SÃO PAULO,10.61
BRACELL SP,0359,SÃO JOSÉ IV - GLEBA II,001-01,2025-02-18,CORTE HARVESTER,S,2025-02-07,Avaí,SÃO PAULO,10.61
BRACELL SP,0359,SÃO JOSÉ IV - GLEBA II,002-01,2025-02-10,CORTE HARVESTER,S,2025-02-04,Avaí,SÃO PAULO,10.61
BRACELL SP,0359,SÃO JOSÉ IV - GLEBA II,005-01,2025-02-21,CORTE HARVESTER,S,2025-02-12,Avaí,SÃO PAULO,10.61
