dcr_regiao,id_projeto,nom_projeto,cd_talhao,data_cto,dcr_operacao,flag_cto_executado,data_inicio_operacao,dcr_municipio,dcr_estado,vlr_area
BRACELL SP,0596,SÃO JOSÉ IX,005-01,,BALDEIO FORWARDER,N,,Ubirajara,SÃO PAULO,6.99
BRACELL PR,1130,MASCHIETTO,008-01,,BALDEIO FORWARDER,N,,Sengés,PARANÁ,0.46
BRACELL SP,0537,TANGARÁ,001-01,2025-02-21,BALDEIO FORWARDER,S,2025-02-21,Agudos,SÃO PAULO,43.28
BRACELL SP,0537,TANGARÁ,003-01,2025-02-21,BALDEIO FORWARDER,S,2025-02-21,Agudos,SÃO PAULO,43.28
BRACELL SP,0456,VENEZA,013-01,,BALDEIO FORWARDER,N,,Pompéia,SÃO PAULO,5.33
BRACELL SP,0333,SÃO PEDRO II,009-01,,BALDEIO FORWARDER,N,2025-06-13,Agudos,SÃO PAULO,2.51
BRACELL SP,0333,SÃO PEDRO II,002-01,,BALDEIO FORWARDER,N,2025-06-12,Agudos,SÃO PAULO,2.51
BRACELL SP,0537,TANGARÁ,002-01,2025-02-21,BALDEIO FORWARDER,S,2025-02-21,Agudos,SÃO PAULO,43.28
BRACELL SP,1131,BRINCO DE OURO - M2A,042-01,,BALDEIO FORWARDER,N,,Ubirajara,SÃO PAULO,1.48
BRACELL SP,0537,TANGARÁ,006-01,2025-02-22,BALDEIO FORWARDER,S,2025-02-22,Agudos,SÃO PAULO,43.28
BRACELL SP,0537,TANGARÁ,007-01,2025-02-25,BALDEIO FORWARDER,S,2025-02-23,Agudos,SÃO PAULO,43.28
BRACELL SP,0537,TANGARÁ,005-01,2025-02-21,BALDEIO FORWARDER,S,2025-02-20,Agudos,SÃO PAULO,43.28
BRACELL SP,0537,TANGARÁ,008-01,2025-02-25,BALDEIO FORWARDER,S,2025-02-22,Agudos,SÃO PAULO,43.28
BRACELL SP,0603,BRINCO DE OURO,013-01,2025-05-31,BALDEIO FORWARDER,S,2025-05-28,Ubirajara,SÃO PAULO,45.18
BRACELL SP,0350,ÁGUA DA ONÇA,002-01,2025-06-08,BALDEIO FORWARDER,S,2025-06-05,Agudos,SÃO PAULO,0.68
BRACELL SP,0537,TANGARÁ,011-01,2025-03-01,BALDEIO FORWARDER,S,2025-02-24,Agudos,SÃO PAULO,43.28
BRACELL SP,0549,MARÍLIA II,006-01,2025-02-02,BALDEIO FORWARDER,S,2025-02-02,Marília,SÃO PAULO,5.86
BRACELL SP,0582,LAGOA BONITA,003-01,2025-02-16,BALDEIO FORWARDER,S,2025-02-15,Getulina,SÃO PAULO,2.02
BRACELL SP,0582,LAGOA BONITA,004-01,2025-02-18,BALDEIO FORWARDER,S,2025-02-17,Getulina,SÃO PAULO,2.02
BRACELL SP,0582,LAGOA BONITA,005-01,2025-02-16,BALDEIO FORWARDER,S,2025-02-15,Getulina,SÃO PAULO,2.02
BRACELL SP,0537,TANGARÁ,016-01,2025-02-27,BALDEIO FORWARDER,S,2025-02-24,Agudos,SÃO PAULO,43.28
BRACELL SP,0537,TANGARÁ,017-01,2025-02-27,BALDEIO FORWARDER,S,2025-02-24,Agudos,SÃO PAULO,43.28
BRACELL SP,0537,TANGARÁ,009-01,2025-02-25,BALDEIO FORWARDER,S,2025-02-22,Agudos,SÃO PAULO,43.28
BRACELL SP,0456,VENEZA,006-02,,BALDEIO FORWARDER,N,,Pompéia,SÃO PAULO,5.33
BRACELL SP,0682,SEKI,002-03,,BALDEIO FORWARDER,N,,Bauru,SÃO PAULO,24.07
BRACELL SP,2406,FORQUILHA IV,004-01,2024-08-16,BALDEIO FORWARDER,S,2024-08-14,Itaberá,SÃO PAULO,14.79
BRACELL SP,2406,FORQUILHA IV,001-01,2024-08-13,BALDEIO FORWARDER,S,2024-08-12,Itaberá,SÃO PAULO,14.79
BRACELL SP,2406,FORQUILHA IV,003-01,2024-08-16,BALDEIO FORWARDER,S,2024-08-14,Itaberá,SÃO PAULO,14.79
BRACELL SP,2406,FORQUILHA IV,002-01,2024-08-14,BALDEIO FORWARDER,S,2024-08-13,Itaberá,SÃO PAULO,14.79
BRACELL SP,2002,GUARANI I,002-01,2025-02-22,BALDEIO FORWARDER,S,2025-02-19,Bofete,SÃO PAULO,0.27
BRACELL SP,2002,GUARANI I,001-01,2025-02-22,BALDEIO FORWARDER,S,2025-02-21,Bofete,SÃO PAULO,0.27
BRACELL SP,0371,MANGA LARGA,025-01,2024-10-31,BALDEIO FORWARDER,S,2024-10-27,Getulina,SÃO PAULO,22.85
BRACELL SP,0371,MANGA LARGA,032-01,2024-10-31,BALDEIO FORWARDER,S,2024-10-31,Getulina,SÃO PAULO,22.85
BRACELL SP,0351,SANTA MARIANA II,045-01,2025-01-29,BALDEIO FORWARDER,S,2025-01-27,Marília,SÃO PAULO,11.71
BRACELL SP,0497,ICATU,001-01,2025-04-24,BALDEIO FORWARDER,S,2025-04-08,Cafelândia,SÃO PAULO,3.92
BRACELL SP,0498,NOVA ICATU,003-01,2025-04-24,BALDEIO FORWARDER,S,2025-04-05,Cafelândia,SÃO PAULO,72.15
BRACELL SP,0428,SÃO MANOEL IV,005-01,2025-04-14,BALDEIO FORWARDER,S,2025-04-10,Presidente Alves,SÃO PAULO,0.18
BRACELL SP,0428,SÃO MANOEL IV,305-01,2025-04-14,BALDEIO FORWARDER,S,2025-04-10,Presidente Alves,SÃO PAULO,0.18
BRACELL SP,0371,MANGA LARGA,028-01,2024-10-31,BALDEIO FORWARDER,S,2024-10-31,Getulina,SÃO PAULO,22.85
BRACELL SP,0371,MANGA LARGA,029-01,2024-11-13,BALDEIO FORWARDER,S,2024-11-01,Getulina,SÃO PAULO,22.85
BRACELL SP,0371,MANGA LARGA,327-01,2024-10-31,BALDEIO FORWARDER,S,2024-10-28,Getulina,SÃO PAULO,22.85
BRACELL SP,0351,SANTA MARIANA II,313-01,2025-01-27,BALDEIO FORWARDER,S,2025-01-25,Marília,SÃO PAULO,11.71
BRACELL SP,0371,MANGA LARGA,006-01,2024-11-13,BALDEIO FORWARDER,S,2024-11-03,Getulina,SÃO PAULO,22.85
BRACELL SP,0351,SANTA MARIANA II,315-01,2025-01-27,BALDEIO FORWARDER,S,2025-01-25,Marília,SÃO PAULO,11.71
BRACELL SP,2406,FORQUILHA IV,006-01,2024-08-13,BALDEIO FORWARDER,S,2024-08-12,Itaberá,SÃO PAULO,14.79
BRACELL SP,0298,MONJOLÃO,041-01,2025-01-03,BALDEIO FORWARDER,S,2024-12-22,Bofete,SÃO PAULO,5.0
BRACELL SP,0298,MONJOLÃO,044-01,2024-12-29,BALDEIO FORWARDER,S,2024-12-26,Bofete,SÃO PAULO,5.0
BRACELL SP,0475,IPÊ III - ITATINGA,023-01,2025-03-08,BALDEIO FORWARDER,S,2025-03-05,Itatinga,SÃO PAULO,2.79
BRACELL SP,0475,IPÊ III - ITATINGA,020-01,2025-03-07,BALDEIO FORWARDER,S,2025-03-02,Itatinga,SÃO PAULO,2.79
